"Product ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Position"
"72";"";"TABLIER RETRO";"";"";"9.92";"11.9";"5.0";"";"0"
"73";"";"GANT FOUR VINTAGE";"";"";"4.67";"5.6";"6.0";"";"0"
"74";"";"SHAKER VERRE";"";"";"4.08";"4.9";"0.0";"";"0"
"75";"";"TASSE EN NOIR ET BLANC";"";"";"4.92";"5.9";"1.0";"";"0"
"77";"";"TASSE I LOVE MAMA";"";"";"4.08";"4.9";"7.0";"";"0"
"78";"";"CARTE PASSER LES COULEUS DU TEMPS COEUR";"";"";"2.08";"2.5";"4.0";"";"0"
"79";"";"CARTE PASSER LES COULEURS DU TEMPS OURS ET COEUR";"";"";"2.08";"2.5";"2.0";"";"0"
"80";"";"TASSE COEUR AVEC INFUSEUR";"";"";"8.75";"10.5";"0.0";"";"0"
"81";"";"CORNET A FRITES";"";"";"0";"0";"12.0";"";"0"
"82";"";"ESSAIE POUR MARGE";"";"";"0";"0";"0.0";"";"0"
"83";"";"BIERE BLONDE BIO AU PRE DE MA BLONDE 33 CL";"";"";"2.92";"3.5";"42.0";"";"0"
"84";"";"BIERE AMBREE BIO L'AMBREE DU HAMEAU 33 CL";"";"";"2.92";"3.5";"40.0";"";"0"
"85";"";"BIERE BLANCHE BIO LA CAENETTE 33 CL";"";"";"2.92";"3.5";"44.0";"";"0"
"86";"";"BIERE BRUNE BIO QUAI DES BRUNES 33 CL";"";"";"2.92";"3.5";"48.0";"";"0"
"87";"";"BIERE TRIPLE BIO TRIPLE A LA MODE DE CAEN 33 CL";"";"";"3";"3.6";"55.0";"";"0"
"88";"";"BIERE DE PRINTEMPS BIO CONTE & FLEURETTE 33 CL";"";"";"2.92";"3.5";"0.0";"";"0"
"89";"";"TARTI SAINT-JACQUES - YUZU 100 GR";"";"";"7.01";"7.4";"0.0";"";"0"
"90";"";"TARTI NEUFCHATEL - NOIX 100 GR";"";"";"7.01";"7.4";"1.0";"";"0"
"91";"";"TARTI CHEVRE - FIGUE 100 GR";"";"";"7.01";"7.4";"3.0";"";"0"
"92";"";"TARTI CANARD - CAMEMBER 100 GR";"";"";"7.01";"7.4";"2.0";"";"0"
"93";"";"TARTI POULET - GINGEMBRE 100 GR";"";"";"7.01";"7.4";"2.0";"";"0"
"94";"";"TARTI POIREAUX - VINAIGRE DE FRAMBOISE 100 GR";"";"";"7.01";"7.4";"2.0";"";"0"
"95";"";"TARTI ASPERGES - MASCARPONE 100 GR";"";"";"7.01";"7.4";"7.0";"";"0"
"96";"";"TARTI SAUMON - MACHE 100 GR";"";"";"7.01";"7.4";"0.0";"";"0"
"97";"";"SAVEURS DE NOS REGIONS";"";"";"26.45";"27.9";"0.0";"";"0"
"98";"";"SAVEURS DES ILES ET ARCHIPELS";"";"";"26.45";"27.9";"0.0";"";"0"
"99";"";"SAVEURS DESSERTS DU MONDE";"";"";"26.45";"27.9";"1.0";"";"0"
"100";"";"ETUI TROIS EPICES BURGER MAISON";"";"";"8.06";"8.5";"5.0";"";"0"
"101";"";"ETUI TROIS EPICES COUSCOUS";"";"";"8.06";"8.5";"4.0";"";"0"
"102";"";"ETUI TROIS EPICES COLOMBO DE PORC";"";"";"8.06";"8.5";"3.0";"";"0"
"103";"";"ETUI TROIS EPICES CRUMBLE POMMES NOISETTES";"";"";"8.06";"8.5";"4.0";"";"0"
"104";"";"ETUI TROIS EPICES CURRY DE DINDE";"";"";"8.06";"8.5";"4.0";"";"0"
"105";"";"ETUI TROIS EPICES MOULES";"";"";"8.06";"8.5";"3.0";"";"0"
"106";"";"ETUI TROIS EPICES PAELLA";"";"";"8.06";"8.5";"4.0";"";"0"
"107";"";"ETUI TROIS EPICES PETITS SABLES";"";"";"8.06";"8.5";"5.0";"";"0"
"108";"";"ETUI TROIS EPICES PUNCH DES ILES";"";"";"8.06";"8.5";"4.0";"";"0"
"109";"";"ETUI TROIS EPICES RATATOUILLE";"";"";"8.06";"8.5";"2.0";"";"0"
"110";"";"ETUI TROIS EPICES TABOULE";"";"";"8.06";"8.5";"5.0";"";"0"
"111";"";"ETUI TROIS EPICES TAJINE DE POULET";"";"";"8.06";"8.5";"2.0";"";"0"
"112";"";"ETUI TROIS EPICES TARTARE DE POISSON";"";"";"8.06";"8.5";"3.0";"";"0"
"113";"";"CALISSON ALV NATURE 2000 GR";"";"";"148.33";"178";"0.0";"";"0"
"114";"";"CALISSON EXCEPTION VERVE - AGRUME";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"115";"";"CALISSON EXCEPTION PIMENT - CANNEBERGE";"";"";"59.33";"71.2";"4.7683716530855236E-8";"";"0"
"116";"";"CALISSON EXCEPTION FRAMBOISE - THE MATCHA";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"117";"";"CALISSON EXCEPTION CLEMENTINE - FEVE DE CACAO";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"118";"";"CALISSON EXCEPTION POIRE - TATIN";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"119";"";"CALISSON EXCEPTION CERISE - ROSE";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"120";"";"CALISSON EXCEPTION CHOCOLAT - NOISETTE";"";"";"59.33";"71.2";"1.1920928955078125E-7";"";"0"
"121";"";"CALISSON EXCEPTION NATURE";"";"";"59.33";"71.2";"1.3065337611806171E-7";"";"0"
"122";"";"CALINOU ASSOTI BOITE PAPILLON 125 GR";"";"";"11.58";"13.9";"0.0";"";"0"
"123";"";"BOITE ALVEOLE CALINOU FRAMBOISE 870 GR";"";"";"52.2";"62.64";"-1.78337103307058E-7";"";"0"
"124";"";"BOITE ALVEOLE CALINOU CITRON 870 GR";"";"";"52.2";"62.64";"-4.1961669694501325E-8";"";"0"
"125";"";"BOITE ALVEOLE CALINOU ORANGE 870 GR";"";"";"52.2";"62.64";"-4.1961669694501325E-8";"";"0"
"126";"";"BOITE ALVEOLE CALINOU FIGUE 870 GR";"";"";"52.2";"62.64";"-4.1961669694501325E-8";"";"0"
"127";"";"BOITE ALVEOLE CALINOU CARAMEL 870 GR";"";"";"52.2";"62.64";"-4.1961669694501325E-8";"";"0"
"128";"";"BOITE PAPILLON NOUGAT ASSORTIS 270 GR";"";"";"16.58";"19.9";"9.0";"";"0"
